depth,TempInSitu,Serial,SalinityInSitu_1pCal
01/15/2021 10:56:22,29.42,316,33.58137154
01/15/2021 10:56:32,29.42,316,33.62045677
01/15/2021 10:56:42,29.41,316,33.5785639
01/15/2021 10:56:52,29.39,316,33.53070102
01/15/2021 10:57:02,29.39,316,33.55343949
01/15/2021 10:57:12,29.39,316,33.52423124
01/15/2021 10:57:22,29.39,316,33.53070206
01/15/2021 10:57:32,29.38,316,33.5214116
01/15/2021 10:57:42,29.38,316,33.57669627
01/15/2021 10:57:52,29.38,316,33.60933465
01/15/2021 10:58:02,29.37,316,33.56741046
01/15/2021 10:58:12,29.38,316,33.54415421
01/15/2021 10:58:22,29.39,316,33.54697107
01/15/2021 10:58:32,29.41,316,33.51675511
01/15/2021 10:58:42,29.41,316,33.55574559
01/15/2021 10:58:52,29.42,316,33.47081018
01/15/2021 10:59:02,29.43,316,33.49302942
01/15/2021 10:59:12,29.44,316,33.43104453
01/15/2021 10:59:22,29.43,316,33.45415542
01/15/2021 10:59:32,29.44,316,33.43427608
01/15/2021 10:59:42,29.44,316,33.37926875
01/15/2021 10:59:52,29.43,316,33.4249827
01/15/2021 11:00:02,29.43,316,33.43153557
01/15/2021 11:00:12,29.42,316,33.43193533
01/15/2021 11:00:22,29.42,316,33.47081329
01/15/2021 11:00:32,29.42,316,33.461116
01/15/2021 11:00:42,29.39,316,33.50150351
01/15/2021 11:00:52,29.39,316,33.50150386
01/15/2021 11:01:02,29.38,316,33.50191547
01/15/2021 11:01:12,29.39,316,33.50150455
01/15/2021 11:01:22,29.38,316,33.46956432
01/15/2021 11:01:32,29.38,316,33.42419058
01/15/2021 11:01:42,29.39,316,33.46906981
01/15/2021 11:01:52,29.36,316,33.45104967
01/15/2021 11:02:02,29.39,316,33.43987358
01/15/2021 11:02:12,29.39,316,33.43017246
01/15/2021 11:02:22,29.39,316,33.43017281
01/15/2021 11:02:32,29.39,316,33.44634251
01/15/2021 11:02:42,29.37,316,33.50565598
01/15/2021 11:02:52,29.39,316,33.55021596
01/15/2021 11:03:02,29.38,316,33.58327049
01/15/2021 11:03:12,29.35,316,33.58796675
01/15/2021 11:03:22,29.32,316,33.66441515
01/15/2021 11:03:32,29.35,316,33.61072819
01/15/2021 11:03:42,29.32,316,33.60895848
01/15/2021 11:03:52,29.33,316,33.56938304
01/15/2021 11:04:02,29.3,316,33.5936094
01/15/2021 11:04:12,29.28,316,33.60437022
01/15/2021 11:04:22,29.27,316,33.61786246
01/15/2021 11:04:32,29.27,316,33.59831165
01/15/2021 11:04:42,29.24,316,33.63565042
01/15/2021 11:04:52,29.24,316,33.62582374
01/15/2021 11:05:02,29.26,316,33.57278888
01/15/2021 11:05:12,29.26,316,33.56630221
01/15/2021 11:05:22,29.22,316,33.60080367
01/15/2021 11:05:32,29.24,316,33.59328203
01/15/2021 11:05:42,29.22,316,33.57808123
01/15/2021 11:05:52,29.24,316,33.58679274
01/15/2021 11:06:02,29.24,316,33.554256
01/15/2021 11:06:12,29.22,316,33.59106662
01/15/2021 11:06:22,29.24,316,33.57705916
01/15/2021 11:06:32,29.22,316,33.6008061
01/15/2021 11:06:42,29.22,316,33.61712893
01/15/2021 11:06:52,29.24,316,33.59977499
01/15/2021 11:07:02,29.21,316,33.59158228
01/15/2021 11:07:12,29.21,316,33.61431133
01/15/2021 11:07:22,29.21,316,33.58508951
01/15/2021 11:07:32,29.19,316,33.5925206
01/15/2021 11:07:42,29.19,316,33.58277724
01/15/2021 11:07:52,29.19,316,33.59585951
01/15/2021 11:08:02,29.17,316,33.60988535
01/15/2021 11:08:12,29.19,316,33.61210096
01/15/2021 11:08:22,29.17,316,33.61963452
01/15/2021 11:08:32,29.15,316,33.62717259
01/15/2021 11:08:42,29.15,316,33.63367476
01/15/2021 11:08:52,29.16,316,33.60056329
01/15/2021 11:09:02,29.15,316,33.63367546
01/15/2021 11:09:12,29.14,316,33.60809485
01/15/2021 11:09:22,29.15,316,33.62717432
01/15/2021 11:09:32,29.16,316,33.63315612
01/15/2021 11:09:42,29.12,316,33.6547547
01/15/2021 11:09:52,29.14,316,33.63419745
01/15/2021 11:10:02,29.11,316,33.66829391
01/15/2021 11:10:12,29.11,316,33.66178664
01/15/2021 11:10:22,29.12,316,33.67752872
01/15/2021 11:10:32,29.11,316,33.6944178
01/15/2021 11:10:42,29.11,316,33.66178768
01/15/2021 11:10:52,29.12,316,33.68738059
01/15/2021 11:11:02,29.11,316,33.71719988
01/15/2021 11:11:12,29.1,316,33.72424551
01/15/2021 11:11:22,29.09,316,33.70850279
01/15/2021 11:11:32,29.1,316,33.69486004
01/15/2021 11:11:42,29.09,316,33.73129431
01/15/2021 11:11:52,29.09,316,33.74766577
01/15/2021 11:12:02,29.09,316,33.7411537
01/15/2021 11:12:12,29.09,316,33.76403885
01/15/2021 11:12:22,29.09,316,33.76403919
01/15/2021 11:12:32,29.09,316,33.75752662
01/15/2021 11:12:42,29.09,316,33.74115509
01/15/2021 11:12:52,29.09,316,33.75752731
01/15/2021 11:13:02,29.1,316,33.75047427
01/15/2021 11:13:12,29.1,316,33.75047462
01/15/2021 11:13:22,29.08,316,33.76458423
01/15/2021 11:13:32,29.08,316,33.73509169
01/15/2021 11:13:42,29.08,316,33.78096159
01/15/2021 11:13:52,29.08,316,33.78096194
01/15/2021 11:14:02,29.08,316,33.78096228
01/15/2021 11:14:12,29.05,316,33.81528454
01/15/2021 11:14:22,29.06,316,33.78848129
01/15/2021 11:14:32,29.05,316,33.81528524
01/15/2021 11:14:42,29.04,316,33.82235776
01/15/2021 11:14:52,29.06,316,33.79509027
01/15/2021 11:15:02,29.06,316,33.77870692
01/15/2021 11:15:12,29.05,316,33.77264364
01/15/2021 11:15:22,29.06,316,33.80160894
01/15/2021 11:15:32,29.06,316,33.78848372
01/15/2021 11:15:42,29.05,316,33.79554951
01/15/2021 11:15:52,29.06,316,33.79835115
01/15/2021 11:16:02,29.06,316,33.77210157
01/15/2021 11:16:12,29.05,316,33.80215992
01/15/2021 11:16:22,29.05,316,33.77916419
01/15/2021 11:16:32,29.04,316,33.80261918
01/15/2021 11:16:42,29.04,316,33.80923031
01/15/2021 11:16:52,29.03,316,33.8163025
01/15/2021 11:17:02,29.03,316,33.81630285
01/15/2021 11:17:12,29.05,316,33.80542149
01/15/2021 11:17:22,29.04,316,33.79284096
01/15/2021 11:17:32,29.03,316,33.80969169
01/15/2021 11:17:42,29.03,316,33.84909659
01/15/2021 11:17:52,29.03,316,33.79991032
01/15/2021 11:18:02,29.04,316,33.80923309
01/15/2021 11:18:12,29.03,316,33.81630528
01/15/2021 11:18:22,29.03,316,33.81630563
01/15/2021 11:18:32,29.03,316,33.79991171
01/15/2021 11:18:42,29.01,316,33.84024452
01/15/2021 11:18:52,29,316,33.86046983
01/15/2021 11:19:02,29,316,33.84732665
